代號,名稱,年度,季別,現金股利,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,108,Y1,2.5,109/06/09,108/01/01~108/12/31,股東會確認,2.5,0.5,272880960
1101,台泥,108,Y1,2.5,109/06/09,108/01/01~108/12/31,股東會確認,2.5,0.5,272880960
1101B,台泥乙特,108,Y1,1.75,109/06/09,108/01/01~108/12/31,股東會確認,1.75,0.0,0
1101B,台泥乙特,108,Y1,1.75,109/06/09,108/01/01~108/12/31,股東會確認,1.75,0.0,0
1101,台泥,108,Y1,2.5,109/06/09,108/01/01~108/12/31,股東會確認,2.5,0.5,272880960
1101B,台泥乙特,108,Y1,1.75,109/06/09,108/01/01~108/12/31,股東會確認,1.75,0.0,0
1101,台泥,108,Y1,2.5,109/06/09,108/01/01~108/12/31,股東會確認,2.5,0.5,272880960
1101B,台泥乙特,108,Y1,1.75,109/06/09,108/01/01~108/12/31,股東會確認,1.75,0.0,0
1102,亞泥,108,Y1,3.0,109/06/23,108/01/01~108/12/31,股東會確認,3.0,0.0,0
1102,亞泥,108,Y1,3.0,109/06/23,108/01/01~108/12/31,股東會確認,3.0,0.0,0
1102,亞泥,108,Y1,3.0,109/06/23,108/01/01~108/12/31,股東會確認,3.0,0.0,0
1102,亞泥,108,Y1,3.0,109/06/23,108/01/01~108/12/31,股東會確認,3.0,0.0,0
1103,嘉泥,108,Y1,1.0,109/06/22,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1103,嘉泥,108,Y1,1.0,109/06/22,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1103,嘉泥,108,Y1,1.0,109/06/22,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1103,嘉泥,108,Y1,1.0,109/06/22,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1104,環泥,108,Y1,1.0,109/06/15,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1104,環泥,108,Y1,1.0,109/06/15,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1104,環泥,108,Y1,1.0,109/06/15,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1104,環泥,108,Y1,1.0,109/06/15,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1108,幸福,108,H2,0.15,109/06/18,108/07/01~108/12/31,股東會確認,0.15,0.0,0
1108,幸福,108,H1,0.0,不適用,108/01/01~108/06/30,董事會決議,0.0,0.0,0
1108,幸福,108,H2,0.15,109/06/18,108/07/01~108/12/31,股東會確認,0.15,0.0,0
1108,幸福,108,H1,0.0,不適用,108/01/01~108/06/30,董事會決議,0.0,0.0,0
1108,幸福,108,H2,0.15,109/06/18,108/07/01~108/12/31,股東會確認,0.15,0.0,0
1108,幸福,108,H1,0.0,不適用,108/01/01~108/06/30,董事會決議,0.0,0.0,0
1108,幸福,108,H1,0.0,不適用,108/01/01~108/06/30,董事會決議,0.0,0.0,0
1108,幸福,108,H2,0.15,109/06/18,108/07/01~108/12/31,股東會確認,0.15,0.0,0
1109,信大,108,Y1,1.1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,0.0,0
1109,信大,108,Y1,1.1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,0.0,0
1109,信大,108,Y1,1.1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,0.0,0
1109,信大,108,Y1,1.1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,0.0,0
1110,東泥,108,Y1,0.1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,0.0,0
1110,東泥,108,Y1,0.1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,0.0,0
1110,東泥,108,Y1,0.1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,0.0,0
1110,東泥,108,Y1,0.1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,0.0,0
1201,味全,108,Y1,1.3339,不適用,108/01/01~108/12/31,董事會決議,1.3339,0.0,0
1201,味全,108,Y1,1.3339,不適用,108/01/01~108/12/31,董事會決議,1.3339,0.0,0
1201,味全,108,Y1,1.3339,不適用,108/01/01~108/12/31,董事會決議,1.3339,0.0,0
1201,味全,108,Y1,1.3339,不適用,108/01/01~108/12/31,董事會決議,1.3339,0.0,0
1203,味王,108,Y1,1.0,109/06/23,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1203,味王,108,Y1,1.0,109/06/23,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1203,味王,108,Y1,1.0,109/06/23,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1203,味王,108,Y1,1.0,109/06/23,108/01/01~108/12/31,股東會確認,1.0,0.0,0
1210,大成,108,Y1,2.2,不適用,108/01/01~108/12/31,董事會決議,2.2,0.0,0
1210,大成,108,Y1,2.2,不適用,108/01/01~108/12/31,董事會決議,2.2,0.0,0
1210,大成,108,Y1,2.2,不適用,108/01/01~108/12/31,董事會決議,2.2,0.0,0
1210,大成,108,Y1,2.2,不適用,108/01/01~108/12/31,董事會決議,2.2,0.0,0
1213,大飲,108,Y1,0.0,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1213,大飲,108,Y1,0.0,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1213,大飲,108,Y1,0.0,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1213,大飲,108,Y1,0.0,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1215,卜蜂,108,Y1,4.0,不適用,108/01/01~108/12/31,董事會決議,4.0,0.0,0
1215,卜蜂,108,Y1,4.0,不適用,108/01/01~108/12/31,董事會決議,4.0,0.0,0
1215,卜蜂,108,Y1,4.0,不適用,108/01/01~108/12/31,董事會決議,4.0,0.0,0
1215,卜蜂,108,Y1,4.0,不適用,108/01/01~108/12/31,董事會決議,4.0,0.0,0
1216,統一,108,Y1,2.5,109/06/24,108/01/01~108/12/31,股東會確認,2.5,0.0,0
1216,統一,108,Y1,2.5,109/06/24,108/01/01~108/12/31,股東會確認,2.5,0.0,0
1216,統一,108,Y1,2.5,109/06/24,108/01/01~108/12/31,股東會確認,2.5,0.0,0
1216,統一,108,Y1,2.5,109/06/24,108/01/01~108/12/31,股東會確認,2.5,0.0,0
1217,愛之味,108,Y1,0.0,109/06/23,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1217,愛之味,108,Y1,0.0,109/06/23,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1217,愛之味,108,Y1,0.0,109/06/23,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1217,愛之味,108,Y1,0.0,109/06/23,108/01/01~108/12/31,股東會確認,0.0,0.0,0
1218,泰山,108,Y1,0.9,109/05/21,108/01/01~108/12/31,股東會確認,0.9,0.0,0
1218,泰山,108,Y1,0.9,109/05/21,108/01/01~108/12/31,股東會確認,0.9,0.0,0
1218,泰山,108,Y1,0.9,109/05/21,108/01/01~108/12/31,股東會確認,0.9,0.0,0
1218,泰山,108,Y1,0.9,109/05/21,108/01/01~108/12/31,股東會確認,0.9,0.0,0
1219,福壽,108,Y1,0.4,109/06/17,108/01/01~108/12/31,股東會確認,0.4,0.0,0
1219,福壽,108,Y1,0.4,109/06/17,108/01/01~108/12/31,股東會確認,0.4,0.0,0
1219,福壽,108,Y1,0.4,109/06/17,108/01/01~108/12/31,股東會確認,0.4,0.0,0
1219,福壽,108,Y1,0.4,109/06/17,108/01/01~108/12/31,股東會確認,0.4,0.0,0
1220,台榮,108,Y1,0.6,109/06/20,108/01/01~108/12/31,股東會確認,0.6,0.0,0
1220,台榮,108,Y1,0.6,109/06/20,108/01/01~108/12/31,股東會確認,0.6,0.0,0
1220,台榮,108,Y1,0.6,109/06/20,108/01/01~108/12/31,股東會確認,0.6,0.0,0
1220,台榮,108,Y1,0.6,109/06/20,108/01/01~108/12/31,股東會確認,0.6,0.0,0
1225,福懋油,108,Y1,1.3,109/06/24,108/01/01~108/12/31,股東會確認,1.3,0.0,0
1225,福懋油,108,Y1,1.3,109/06/24,108/01/01~108/12/31,股東會確認,1.3,0.0,0
1225,福懋油,108,Y1,1.3,109/06/24,108/01/01~108/12/31,股東會確認,1.3,0.0,0
1225,福懋油,108,Y1,1.3,109/06/24,108/01/01~108/12/31,股東會確認,1.3,0.0,0
1227,佳格,108,Y1,2.65,109/06/16,108/01/01~108/12/31,股東會確認,2.65,0.0,0
1227,佳格,108,Y1,2.65,109/06/16,108/01/01~108/12/31,股東會確認,2.65,0.0,0
1227,佳格,108,Y1,2.65,109/06/16,108/01/01~108/12/31,股東會確認,2.65,0.0,0
1227,佳格,108,Y1,2.65,109/06/16,108/01/01~108/12/31,股東會確認,2.65,0.0,0
1229,聯華,108,Y1,1.6,109/06/23,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,1.6,1.6,176758374
1229,聯華,108,Y1,1.6,109/06/23,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,1.6,1.6,176758374
1229,聯華,108,Y1,1.6,109/06/23,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,1.6,1.6,176758374
1229,聯華,108,Y1,1.6,109/06/23,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,1.6,1.6,176758374
1231,聯華食,108,Y1,1.6,109/06/18,108/01/01~108/12/31,股東會確認,1.6,0.5,8729770
1231,聯華食,108,Y1,1.6,109/06/18,108/01/01~108/12/31,股東會確認,1.6,0.5,8729770
1231,聯華食,108,Y1,1.6,109/06/18,108/01/01~108/12/31,股東會確認,1.6,0.5,8729770
1231,聯華食,108,Y1,1.6,109/06/18,108/01/01~108/12/31,股東會確認,1.6,0.5,8729770
1232,大統益,108,Y1,5.0,109/06/09,108/01/01~108/12/31,股東會確認,5.0,0.0,0
1232,大統益,108,Y1,5.0,109/06/09,108/01/01~108/12/31,股東會確認,5.0,0.0,0
1232,大統益,108,Y1,5.0,109/06/09,108/01/01~108/12/31,股東會確認,5.0,0.0,0
1232,大統益,108,Y1,5.0,109/06/09,108/01/01~108/12/31,股東會確認,5.0,0.0,0
1233,天仁,108,Y1,1.6,109/06/12,108/01/01~108/12/31,股東會確認,1.6,0.0,0
1233,天仁,108,Y1,1.6,109/06/12,108/01/01~108/12/31,股東會確認,1.6,0.0,0
1233,天仁,108,Y1,1.6,109/06/12,108/01/01~108/12/31,股東會確認,1.6,0.0,0
1233,天仁,108,Y1,1.6,109/06/12,108/01/01~108/12/31,股東會確認,1.6,0.0,0
1234,黑松,108,Y1,1.7,109/06/23,108/01/01~108/12/31,股東會確認,1.7,0.0,0
