代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,108,M01,108年01月22日,108年01月28日,108年03月08日,2.3,108
0050,元大台灣50,108,M07,108年07月19日,108年07月27日,108年08月22日,0.7,108
0050,元大台灣50,108,M07,109年07月21日,109年07月27日,109年08月24日,0.7,109
0050,元大台灣50,108,M01,109年01月31日,109年02月08日,109年03月06日,2.9,109
0051,元大中型100,108,M11,108年11月22日,108年11月30日,108年12月23日,1.2,108
0051,元大中型100,108,M11,109年11月20日,109年11月28日,109年12月21日,1.1,109
0052,富邦科技,108,M05,108年05月02日,108年05月08日,108年06月05日,1.047,108
0052,富邦科技,108,M04,109年04月22日,109年04月28日,109年05月29日,1.927,109
0053,元大電子,108,M11,108年11月22日,108年11月30日,108年12月23日,1.5,108
0053,元大電子,108,M11,109年11月20日,109年11月28日,109年12月21日,1.3,109
0054,元大台商50,108,M11,109年11月20日,109年11月28日,109年12月21日,0.75,109
0054,元大台商50,108,M11,108年11月22日,108年11月30日,108年12月23日,0.75,108
0055,元大MSCI金融,108,M11,108年11月22日,108年11月30日,108年12月23日,0.7,108
0055,元大MSCI金融,108,M11,109年11月20日,109年11月28日,109年12月21日,0.65,109
0056,元大高股息,108,M10,108年10月23日,108年10月29日,108年11月26日,1.8,108
0056,元大高股息,108,M10,109年10月28日,109年11月03日,109年12月01日,1.6,109
006203,元大MSCI台灣,108,M07,109年07月21日,109年07月27日,109年08月19日,0.28,109
006203,元大MSCI台灣,108,M01,109年01月31日,109年02月08日,109年03月03日,1.4,109
006203,元大MSCI台灣,108,M01,108年01月22日,108年01月28日,108年03月08日,0.85,108
006203,元大MSCI台灣,108,M07,108年07月19日,108年07月27日,108年08月19日,0.4,108
006204,永豐臺灣加權,108,M10,109年10月23日,109年10月31日,109年11月23日,0.76,109
006204,永豐臺灣加權,108,M10,108年10月29日,108年11月04日,108年11月27日,1.52,108
006208,富邦台50,108,M07,109年07月21日,109年07月27日,109年08月27日,0.481,109
006208,富邦台50,108,M11,109年11月17日,109年11月23日,109年12月18日,1.139,109
006208,富邦台50,108,M11,108年11月20日,108年11月26日,108年12月30日,1.138,108
006208,富邦台50,108,M07,108年07月18日,108年07月24日,108年08月27日,0.661,108
00660,元大歐洲50,108,M10,109年10月28日,109年11月03日,109年11月26日,0.36,109
00660,元大歐洲50,108,M10,108年10月23日,108年10月29日,108年11月21日,0.75,108
00690,兆豐藍籌30ETF,108,M11,108年11月28日,108年12月04日,108年12月27日,1.12,108
00690,兆豐藍籌30ETF,108,M11,109年11月27日,109年12月05日,109年12月28日,0.84,109
00692,富邦公司治理,108,M07,109年07月21日,109年07月27日,109年08月27日,0.231,109
