代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,收益分配金額 (每1受益權益單位),收益分配標準 (102年度起啟用),公告年度
0050,元大台灣50,112,M01,112年01月30日,112年02月05日,112年03月07日,2.6,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣36.98元。",112
0050,元大台灣50,112,M07,113年07月16日,113年07月22日,113年08月09日,1.0,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣36.98元。,113
0050,元大台灣50,112,M01,113年01月17日,113年01月23日,113年02月21日,3.0,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣36.98元。,113
0050,元大台灣50,112,M07,112年07月18日,112年07月24日,112年08月11日,1.9,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣36.98元。,112
0051,元大中型100,112,M11,113年11月18日,113年11月24日,113年12月12日,2.46,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配查核簽證報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣26.12元。,113
0051,元大中型100,112,M11,112年11月16日,112年11月22日,112年12月12日,2.5,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失 (包括已實現及未實現之資本損失 )及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前 (不含當日 )每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前 (不含當日 )每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣26.12元。,112
0052,富邦科技,112,M04,113年04月18日,113年04月24日,113年05月15日,6.43,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利、利息收入、可歸屬並開立憑單之其他收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司有權調整可分配收益金額。經理公司有權調整可分配收益金額。2.前款可分配收益若另增配其他投資所得之已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。經理公司有權在上述條件範圍內調整可分配收益金額。,113
0052,富邦科技,112,M04,112年04月21日,112年04月29日,112年05月18日,4.0,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利、利息收入、可歸屬並開立憑單之其他收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司有權調整可分配收益金額。經理公司有權調整可分配收益金額。2.前款可分配收益若另增配其他投資所得之已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。經理公司有權在上述條件範圍內調整可分配收益金額。,112
0053,元大電子,112,M11,113年11月18日,113年11月24日,113年12月12日,2.0,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配查核簽證報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於信託契約第五條第二項所列本基金每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣30元。,113
0053,元大電子,112,M11,112年11月16日,112年11月22日,112年12月12日,1.9,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣30元。,112
