代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
2365,昆盈,108,Q2,不適用,108/04/01~108/06/30,董事會決議,0.0,0,0.0,0
2365,昆盈,108,Q1,不適用,108/01/01~108/03/31,董事會決議,0.0,0,0.0,0
2365,昆盈,108,Q2,不適用,108/04/01~108/06/30,董事會決議,0.0,0,0.0,0
2365,昆盈,108,Q3,不適用,108/07/01~108/09/30,董事會決議,0.0,0,0.0,0
2365,昆盈,108,Q4,109/06/18,108/10/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,0.0,93815400,0.0,0
2367,燿華,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.8,495525740,0.0,0
2367,燿華,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.8,495525740,0.0,0
2367,燿華,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.8,495525740,0.0,0
2367,燿華,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.8,495525740,0.0,0
2368,金像電,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2368,金像電,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2368,金像電,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2368,金像電,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2369,菱生,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2369,菱生,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2369,菱生,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2369,菱生,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2371,大同,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2371,大同,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2371,大同,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2371,大同,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2373,震旦行,108,Y1,109/06/10,108/01/01~108/12/31,股東會確認,5.8,1417215108,0.0,0
2373,震旦行,108,Y1,109/06/10,108/01/01~108/12/31,股東會確認,5.8,1417215108,0.0,0
2373,震旦行,108,Y1,109/06/10,108/01/01~108/12/31,股東會確認,5.8,1417215108,0.0,0
2373,震旦行,108,Y1,109/06/10,108/01/01~108/12/31,股東會確認,5.8,1417215108,0.0,0
2374,佳能,108,Y1,109/06/17,108/01/01~108/12/31,董事會決議,0.3,84708844,0.0,0
2374,佳能,108,Y1,109/06/17,108/01/01~108/12/31,董事會決議,0.3,84708844,0.0,0
2374,佳能,108,Y1,109/06/17,108/01/01~108/12/31,董事會決議,0.3,84708844,0.0,0
2374,佳能,108,Y1,109/06/17,108/01/01~108/12/31,董事會決議,0.3,84708844,0.0,0
2375,凱美,108,Y1,109/06/05,108/01/01~108/12/31,股東會確認,0.5,96976550,0.0,0
2375,凱美,108,Y1,109/06/05,108/01/01~108/12/31,股東會確認,0.5,96976550,0.0,0
2375,凱美,108,Y1,109/06/05,108/01/01~108/12/31,股東會確認,0.5,96976550,0.0,0
2375,凱美,108,Y1,109/06/05,108/01/01~108/12/31,股東會確認,0.5,96976550,0.0,0
2376,技嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1398515549,0.0,0
2376,技嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1398515549,0.0,0
2376,技嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1398515549,0.0,0
2376,技嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1398515549,0.0,0
2377,微星,108,Y1,不適用,108/01/01~108/12/31,董事會決議,4.2,3548396035,0.0,0
2377,微星,108,Y1,不適用,108/01/01~108/12/31,董事會決議,4.2,3548396035,0.0,0
2377,微星,108,Y1,不適用,108/01/01~108/12/31,董事會決議,4.2,3548396035,0.0,0
2377,微星,108,Y1,不適用,108/01/01~108/12/31,董事會決議,4.2,3548396035,0.0,0
2379,瑞昱,108,Y1,109/06/10,108/01/01~108/12/31,董事會決議,9.0,5617533625,0.0,0
2379,瑞昱,108,Y1,109/06/10,108/01/01~108/12/31,董事會決議,9.0,5617533625,0.0,0
2379,瑞昱,108,Y1,109/06/10,108/01/01~108/12/31,董事會決議,9.0,5617533625,0.0,0
2379,瑞昱,108,Y1,109/06/10,108/01/01~108/12/31,董事會決議,9.0,5617533625,0.0,0
2380,虹光,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2380,虹光,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2380,虹光,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2380,虹光,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2380,虹光,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2380,虹光,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2380,虹光,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2380,虹光,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2382,廣達,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,3.7,14291721499,0.0,0
2382,廣達,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,3.7,14291721499,0.0,0
2382,廣達,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,3.7,14291721499,0.0,0
2382,廣達,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,3.7,14291721499,0.0,0
2383,台光電,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,6.0,1918248384,0.0,0
2383,台光電,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,6.0,1918248384,0.0,0
2383,台光電,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,6.0,1918248384,0.0,0
2383,台光電,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,6.0,1918248384,0.0,0
2385,群光,108,Y1,不適用,108/01/01~108/12/31,董事會決議,5.9,4362815770,0.0,0
2385,群光,108,Y1,不適用,108/01/01~108/12/31,董事會決議,5.9,4362815770,0.0,0
2385,群光,108,Y1,不適用,108/01/01~108/12/31,董事會決議,5.9,4362815770,0.0,0
2385,群光,108,Y1,不適用,108/01/01~108/12/31,董事會決議,5.9,4362815770,0.0,0
2387,精元,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.0,195251051,0.0,0
2387,精元,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.0,195251051,0.0,0
2387,精元,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.0,195251051,0.0,0
2387,精元,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.0,195251051,0.0,0
2388,威盛,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2388,威盛,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2388,威盛,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2388,威盛,108,Y1,109/06/19,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2390,云辰,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2390,云辰,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2390,云辰,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2390,云辰,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2392,正崴,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.5,1280817350,0.0,0
2392,正崴,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.5,1280817350,0.0,0
2392,正崴,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.5,1280817350,0.0,0
2392,正崴,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.5,1280817350,0.0,0
2393,億光,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.4,620563000,0.0,0
2393,億光,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.4,620563000,0.0,0
2393,億光,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.4,620563000,0.0,0
2393,億光,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,1.4,620563000,0.0,0
2395,研華,108,Y1,109/05/28,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,7.8,5463198078,1.0,70041001
2395,研華,108,Y1,109/05/28,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,7.8,5463198078,1.0,70041001
2395,研華,108,Y1,109/05/28,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,7.8,5463198078,1.0,70041001
2395,研華,108,Y1,109/05/28,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,7.8,5463198078,1.0,70041001
2397,友通,108,Y1,109/06/16,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,5.0,572444285,0.0,0
2397,友通,108,Y1,109/06/16,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,5.0,572444285,0.0,0
2397,友通,108,Y1,109/06/16,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,5.0,572444285,0.0,0
2397,友通,108,Y1,109/06/16,108/01/01~108/12/31,現金股利經董事會決議、增資配股經股東會確認,5.0,572444285,0.0,0
2399,映泰,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2399,映泰,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2399,映泰,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2399,映泰,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2401,凌陽,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,0.0,177598476,0.0,0
2401,凌陽,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,0.0,177598476,0.0,0
2401,凌陽,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,0.0,177598476,0.0,0
2401,凌陽,108,Y1,109/06/12,108/01/01~108/12/31,股東會確認,0.0,177598476,0.0,0
2402,毅嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.25,153768266,0.0,0
2402,毅嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.25,153768266,0.0,0
2402,毅嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.25,153768266,0.0,0
2402,毅嘉,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.25,153768266,0.0,0
2404,漢唐,108,Y1,不適用,108/01/01~108/12/31,董事會決議,13.0,2477627074,0.0,0
2404,漢唐,108,Y1,不適用,108/01/01~108/12/31,董事會決議,13.0,2477627074,0.0,0
2404,漢唐,108,Y1,不適用,108/01/01~108/12/31,董事會決議,13.0,2477627074,0.0,0
2404,漢唐,108,Y1,不適用,108/01/01~108/12/31,董事會決議,13.0,2477627074,0.0,0
2405,輔信,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2405,輔信,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2405,輔信,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2405,輔信,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2405,輔信,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2405,輔信,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2405,輔信,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2405,輔信,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.0,0,0.0,0
2406,國碩,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2406,國碩,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2406,國碩,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2406,國碩,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2408,南亞科,108,Y1,109/05/28,108/01/01~108/12/31,股東會確認,1.50622288,4600000000,0.0,0
2408,南亞科,108,Y1,109/05/28,108/01/01~108/12/31,股東會確認,1.50622288,4600000000,0.0,0
2408,南亞科,108,Y1,109/05/28,108/01/01~108/12/31,股東會確認,1.50622288,4600000000,0.0,0
2408,南亞科,108,Y1,109/05/28,108/01/01~108/12/31,股東會確認,1.50622288,4600000000,0.0,0
2409,友達,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.0,0,0.0,0
2409,友達,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.0,0,0.0,0
2409,友達,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.0,0,0.0,0
2409,友達,108,Y1,不適用,108/01/01~108/12/31,董事會決議,0.0,0,0.0,0
2412,中華電,108,Y1,109/05/29,108/01/01~108/12/31,股東會確認,4.226,32782969099,0.0,0
2412,中華電,108,Y1,109/05/29,108/01/01~108/12/31,股東會確認,4.226,32782969099,0.0,0
2412,中華電,108,Y1,109/05/29,108/01/01~108/12/31,股東會確認,4.226,32782969099,0.0,0
2412,中華電,108,Y1,109/05/29,108/01/01~108/12/31,股東會確認,4.226,32782969099,0.0,0
2413,環科,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2413,環科,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2413,環科,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2413,環科,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2414,精技,108,Y1,109/06/24,108/01/01~108/12/31,股東會確認,1.5,242603769,0.0,0
2414,精技,108,Y1,109/06/24,108/01/01~108/12/31,股東會確認,1.5,242603769,0.0,0
2414,精技,108,Y1,109/06/24,108/01/01~108/12/31,股東會確認,1.5,242603769,0.0,0
2414,精技,108,Y1,109/06/24,108/01/01~108/12/31,股東會確認,1.5,242603769,0.0,0
2415,錩新,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,0.5,40000000,0.0,0
2415,錩新,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,0.5,40000000,0.0,0
2415,錩新,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,0.5,40000000,0.0,0
2415,錩新,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,0.5,40000000,0.0,0
2417,圓剛,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.01559533,19289233,0.0,0
2417,圓剛,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.01559533,19289233,0.0,0
2417,圓剛,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.01559533,19289233,0.0,0
2417,圓剛,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.01559533,19289233,0.0,0
2419,仲琦,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.52,257053783,0.0,0
2419,仲琦,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.52,257053783,0.0,0
2419,仲琦,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.52,257053783,0.0,0
2419,仲琦,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.52,257053783,0.0,0
2420,新巨,108,Y1,109/05/27,108/01/01~108/12/31,股東會確認,2.0,305297376,0.0,0
2420,新巨,108,Y1,109/05/27,108/01/01~108/12/31,股東會確認,2.0,305297376,0.0,0
2420,新巨,108,Y1,109/05/27,108/01/01~108/12/31,股東會確認,2.0,305297376,0.0,0
2420,新巨,108,Y1,109/05/27,108/01/01~108/12/31,股東會確認,2.0,305297376,0.0,0
2421,建準,108,Y1,109/06/17,108/01/01~108/12/31,股東會確認,2.0,501859464,0.0,0
2421,建準,108,Y1,109/06/17,108/01/01~108/12/31,股東會確認,2.0,501859464,0.0,0
2421,建準,108,Y1,109/06/17,108/01/01~108/12/31,股東會確認,2.0,501859464,0.0,0
2421,建準,108,Y1,109/06/17,108/01/01~108/12/31,股東會確認,2.0,501859464,0.0,0
2423,固緯,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.14,217570934,0.0,0
2423,固緯,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.14,217570934,0.0,0
2423,固緯,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.14,217570934,0.0,0
2423,固緯,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.14,217570934,0.0,0
2424,隴華,108,Y1,109/06/02,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2424,隴華,108,Y1,109/06/02,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2424,隴華,108,Y1,109/06/02,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2424,隴華,108,Y1,109/06/02,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2425,承啟,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.3,28949649,0.0,0
2425,承啟,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.3,28949649,0.0,0
2425,承啟,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.3,28949649,0.0,0
2425,承啟,108,Y1,109/06/18,108/01/01~108/12/31,股東會確認,0.3,28949649,0.0,0
2426,鼎元,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2426,鼎元,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2426,鼎元,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.3,90186676,0.0,0
2426,鼎元,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.3,90186676,0.0,0
2426,鼎元,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.3,90186676,0.0,0
2426,鼎元,108,H2,不適用,108/07/01~108/12/31,董事會決議,0.3,90186676,0.0,0
2426,鼎元,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2426,鼎元,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
2427,三商電,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.35,64510062,0.0,0
2427,三商電,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.35,64510062,0.0,0
2427,三商電,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.35,64510062,0.0,0
2427,三商電,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.35,64510062,0.0,0
2428,興勤,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,4.2,538073450,0.0,0
2428,興勤,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,4.2,538073450,0.0,0
2428,興勤,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,4.2,538073450,0.0,0
2428,興勤,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,4.2,538073450,0.0,0
2429,銘旺科,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2429,銘旺科,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2429,銘旺科,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2429,銘旺科,108,Y1,109/06/30,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
2430,燦坤,108,Y1,109/06/03,108/01/01~108/12/31,股東會確認,1.0,166468825,0.0,0
2430,燦坤,108,Y1,109/06/03,108/01/01~108/12/31,股東會確認,1.0,166468825,0.0,0
2430,燦坤,108,Y1,109/06/03,108/01/01~108/12/31,股東會確認,1.0,166468825,0.0,0
2430,燦坤,108,Y1,109/06/03,108/01/01~108/12/31,股東會確認,1.0,166468825,0.0,0
2431,聯昌,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
