"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1591 - 駿吉-KY","董事會決議","114年 上半年","114/01/01~114/06/30","1","114/08/27","不適用","         48,122,620","        -50,224,596","         -2,101,976","                  0","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","(一)依「公司章程」第100條第二項規定：董事會於上半會計年度終了後得為盈餘分派(“期中股利”)，但應符合下列條件: (I)公司之虧損(包括以前年度之虧損)應先撥補完畢；及(II)分派期中股利以發新股方式為之者，應依第44條(i)款經股東會以特別決議同意。","無",
"1593 - 祺驊","董事會決議","114年 第3季","114/07/01~114/09/30","1","114/11/06","不適用","        115,139,794","         50,978,479","        166,118,273","        166,118,273","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1593 - 祺驊","董事會決議","114年 第2季","114/04/01~114/06/30","1","114/08/07","不適用","        115,139,794","         34,504,444","        149,644,238","        149,644,238","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1593 - 祺驊","董事會決議","114年 第1季","114/01/01~114/03/31","1","114/05/08","不適用","        115,139,794","         16,878,008","        132,017,802","        132,017,802","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1784 - 訊聯","董事會決議","114年 上半年","114/01/01~114/06/30","1","114/08/07","不適用","                  0","          3,777,745","          3,777,745","          3,777,745","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","第二十條之一：
本公司盈餘分派或虧損撥補得於每半會計年度終了後為之，每半會計年度決算如有盈餘，應先提繳稅捐、彌補累積虧損(包括調整未分配盈餘金額)、預估保留員工酬勞及董事酬勞、次提百分之十為法定盈餘公積；但法定盈餘公積累積已達本公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額加計上半會計年度累計未分配盈餘數為股東紅利，由董事會擬具分派議案，以發行新股方式為之時，應提請股東會決議後分派之；以現金方式為之時，應經董事會決議。
本公司年度總決算如有盈餘，應先提繳稅捐、彌補累積虧損(包括調整未分配盈餘金額)、次提撥百分之十為法定盈餘公積，但法定盈餘公積累積已達本公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額加計上半會計年度累計未分配盈餘數為股東紅利，由董事會擬具分派議案，以發行新股方式為之時，應提請股東會決議後分派之。
本公司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會。","董事會決議114年上半年度不分配股利。",
"2061 - 風青","董事會決議","114年 第2季","114/04/01~114/06/30","1","114/08/11","不適用","                  0","        -61,819,904","        -61,819,904","        -61,819,904","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","摘錄公司章程文字： 本公司盈餘分派或虧損撥補得於每季終了後為之， 分派盈餘時，應先保留應納稅捐、彌補虧損及提列 法定盈餘公積，但法定盈餘公積已達實收資本額時 不在此限。盈餘分派以現金發放者，應經董事會決 議辦理，並報告股東會；以發行新股方式為之時， 應依規定由股東會決議辦理。 本公司年度總決算如有盈餘，應先提繳營利事業所 得稅，彌補以往年度虧損，次就其餘額依法提列法 定盈餘公積百分之十，但法定盈餘公積已達實收資 本額時不在此限，另依法令規定提列或迴轉特別盈 餘公積後，併同期初未分配盈餘為累積可分配盈 餘，由董事會擬具分派議案，提請股東會決議分派 之。","無",
"2061 - 風青","董事會決議","114年 第1季","114/01/01~114/03/31","1","114/05/13","不適用","        -21,033,772","         -6,230,633","        -27,264,405","        -27,264,405","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補得於每季終了後為之， 分派盈餘時，應先保留應納稅捐、彌補虧損及提列 法定盈餘公積，但法定盈餘公積已達實收資本額時 不在此限。盈餘分派以現金發放者，應經董事會決 議辦理，並報告股東會；以發行新股方式為之時， 應依規定由股東會決議辦理。 本公司年度總決算如有盈餘，應先提繳營利事業所 得稅，彌補以往年度虧損，次就其餘額依法提列法 定盈餘公積百分之十，但法定盈餘公積已達實收資 本額時不在此限，另依法令規定提列或迴轉特別盈 餘公積後，併同期初未分配盈餘為累積可分配盈 餘，由董事會擬具分派議案，提請股東會決議分派 之。","無",
"2063 - 世鎧","董事會決議","114年 第3季","114/07/01~114/09/30","1","114/11/06","不適用","         21,765,261","         60,978,114","                  0","                  0","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法完納一切稅捐，
彌補累積虧損後，再提百分之十為法定盈餘公積，
法定盈餘公積已達本公司實收資本額時，得不再提
列；其餘依法令規定提列或迴轉特別盈餘公積；如
尚有餘額，併同累積未分配盈餘後，由董事會以不
低於可分配盈餘之百分之五十為股東股息紅利擬定
盈餘分配案，提請股東會決議分配之。","無。",
"2063 - 世鎧","董事會決議","114年 第2季","114/04/01~114/06/30","1","114/08/07","不適用","         21,765,261","         35,285,908","                  0","                  0","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法完納一切稅捐，彌補累積虧損後，再提
百分之十為法定盈餘公積，法定盈餘公積已達本公司實收資本額時，得
不再提列；其餘依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併
同累積未分配盈餘後，由董事會以不低於可分配盈餘之百分之五十為股
東股息紅利擬定盈餘分配案，提請股東會決議分配之。","無",
"2063 - 世鎧","董事會決議","114年 第1季","114/01/01~114/03/31","1","114/05/08","不適用","         21,765,261","         25,871,424","         55,277,609","         55,277,609","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法完納一切稅捐，
彌補累積虧後，再提百分之十為法定盈餘公積，
法定盈餘公積已達本公司實收資本額時，得不再
提列；其餘依法令規定提列或迴轉特別盈餘公積；
如尚有餘額，併同累積未分配盈餘後，由董事會
以不低於可分配盈餘之百分之五十為股東股息紅
利擬定盈餘分配案，提請股東會決議分配之。
本公司分派股息及紅利或法定盈餘公積及資本公
積之全部或一部如以現金發放，授權董事會以三分
之二以上董事之出席，及出席董事過半數同意後為
之，並報告股東會。
本公司將考量公司所處環境及成長階段，因應未來
資金需求及長期財務規劃，並滿足股東對現金流入
之需求，因此當年度所分派之股利中，以現金股利
不低於股利總額之百分之六。","無",
