"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1240 - 茂生農經","股東會確認","113年 年度","113/01/01~113/12/31","1","114/03/14","114/06/23","        319,887,846","        179,603,082","        572,296,094","        431,744,625","2.70000000","0.0","0.0","        111,614,399","0.70000000","0.0","0.0","          2,893,707","本公司年度總決算如有盈餘時，除先依法完納
稅捐，彌補累積虧損後，次提10%為法定盈餘
公積，但法定盈餘公積已達本公司實收資本額
時，得不再提列；再依法令或主管機關規定
提撥或迴轉特別盈餘公積；其餘額併同累積
未分配盈餘，由董事會擬具盈餘分派議案，
提請股東會決議分派股東股息紅利。若公司
股東會決議發放股東紅利時，得以現金或
股票方式為之。本公司股利政策係考量以公司
永續經營、穩定成長及維護股東權益、健全
財務結購為目標，由董事會依公司資金需求
擬訂盈餘分派案。若公司股東會決議發放股東
股利時，就累積可供分配盈餘提撥不低於10％
分配股東股息紅利，惟累積可供分配盈餘低於
實收股本 1％時，得不予分配，其中現金股利
不得低於股利總額之10%","",
"1259 - 安心","董事會決議","113年 年度","113/01/01~113/12/31","1","114/02/12","不適用","        653,443,407","         66,329,383","        723,886,648","        685,019,248","1.20000000","0.0","0.0","         38,867,400","0.0","0.0","0.0","                  0","第二十一條 公司年度總決算如有盈餘，應先提繳稅款、彌補累積虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時不在此限；
另視公司營運需要及法令規定提列特別盈餘公積，其餘除派付股息外，如尚有盈餘併同期初未分配盈餘，由董事會擬具盈餘分配案，股票股利案應提請股東會決議分
派之；現金股利分派案授權董事會以三分之二以上董事之出席，及出席董事過半數之決議分派之，並報告股東會。
本公司屬餐飲服務業，企業生命週期正值成熟茁壯期，財務結構健全，故盈餘之分派，除依公司法及本公司章程規定外，將視公司資本規劃及經營成果，決定每年股
利分派方式。惟原則採取股利穩定暨平衡政策，並於每年股東常會前由董事會依據經營結果、財務狀況及資本規劃情形，擬訂盈餘分派方式(現金股利或股票股利)及
金額，其中現金股利比率不低於股利總額百分之三十。","無",
"1264 - 德麥","董事會決議","113年 年度","113/01/01~113/12/31","1","114/03/11","不適用","      1,012,037,172","        761,405,281","      1,745,856,730","      1,208,597,409","14.50000000","0.0","0.0","        537,259,321","0.0","0.0","0.0","                  0","本公司正值成長階段，基於公司營運之需要暨股東權益最大化之考量，股利分配採剩餘股利政策，依本公司未來之資本預算規劃，衡量未來年度之資金需求，並綜合考量獲利狀況財務結構及每年盈餘稀釋程度等因素將當年度可分配盈餘提撥百分之二十以上分派股東紅利，股東紅利之分派得以現金或股票方式發放，其中現金股利之發放以不低於當年度全部股利之百分之二十。","無",
"1268 - 漢來美食","董事會決議","113年 年度","113/01/01~113/12/31","1","114/04/10","不適用","         41,834,632","        424,854,267","        366,546,252","         49,868,277","7.50000000","0.0","0.0","        316,677,975","0.0","0.0","0.0","                  0","第廿二條：本公司年度決算如有盈餘，依法提繳稅捐，彌補累積虧損後，再提10%為法定
盈餘公積，但法定盈餘公積累積已達本公司實收資本額時，得不再提列，其餘再依法令或
主管機關規定提列或迴轉特別盈餘公積；如尚有餘額，併同累計未分配盈餘，由董事會擬
具分派議案，以發行新股方式為之時，應提請股東會決議後分派之。
本公司依公司法第二百四十條規定，授權董事會以三分之二以上董事出席，及出席董事過
半數之決議，將應分派股息及紅利或公司法第二百四十一條規定之法定盈餘公積及資本公
積之全部或一部，以發放現金之方式為之，並報告股東會。

第廿三條：本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及
國內外競爭狀況，並兼顧股東利益等因素而定，每年就可供分配盈餘提撥不低於10%分配
股東股息紅利，惟累積可供分配盈餘低於實收股本1%時，得不予分配；分派股東股息紅利
時，得以現金或股票方式為之，其中現金股利不低於股利總額之20%。","無。",
"1294 - 漢田生技","現金股利經董事會決議、增資配股經股東會確認","113年 年度","113/01/01~113/12/31","1","114/03/06","114/05/29","         60,916,097","        155,674,341","        201,023,004","         85,445,560","3.20000000","0.0","0.0","         87,434,444","1.03000000","0.0","0.0","          2,814,300","第二十八條：本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；次按法令規定提列或迴轉特別盈餘公積，如尚有餘額，其餘額併同期初累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
分派股息及紅利或法定盈餘公積及公司法第二百四十一條所定之資本公積之全部或一部如以現金之方式為之，授權董事會以三分之二以上董事之出席，及出席董事會過半數同意後為之，並報告股東會。

第二十九條：本公司所營事業目前正處於營運成長階段，未來將配合所處環境基於資本支出、業務擴充需要及健全財務規劃以求永續發展，本公司股利政策將依公司未來之資本支出預算及資金需求情形，就前條可分配盈餘提撥不低於10%分配股東紅利，其中現金股利之分派比率以不得低於股東紅利總額百分之十為原則。然因本公司有重大投資計畫且無法取得其他資金支應時，經董事會擬具及股東會決議得不發放現金股利。","",
"1295 - 生合","董事會決議","113年 年度","113/01/01~113/12/31","1","114/03/12","不適用","        254,938,908","        170,125,331","        418,752,611","        309,010,811","3.50000000","0.0","0.0","        109,741,800","0.0","0.0","0.0","                  0","本公司股利發放政策，係考量公司所處產業環境及成長性，因應未來資金需求及長期財務規劃，及滿足股東對現金流入之需求為原則。分派比率係依當年度之盈餘狀況、整體發展及財務規劃等相關因素決定，得以現金股利或股票股利之方式分派，並提報股東會同意後執行之。惟現金股利分派之比例不得低於當年度股利分派總額之百分之二十。
本公司分派股息及紅利、資本公積之全部或一部及法定盈餘公積，如以發放現金方式為之，授權董事會以三分之二以上董事之出席及出席董事過半數同意後為之，並報告股東會。","無",
"1336 - 台翰","董事會決議","113年 年度","113/01/01~113/12/31","1","114/03/07","不適用","        206,185,672","        162,932,340","        408,334,032","        335,014,479","0.94500000","0.0","0.0","         73,319,553","0.0","0.0","0.0","                  0","第二十條：本公司股利政策採穩健平衡原則，並參酌獲利狀況、財務結構及公司未來發展等因素，
就當年度所分配之股利中提撥至少百分之二十發放現金股利。
第廿一條：本公司每年決算後當期淨利，應先彌補虧損，次就其餘額提存百分之十為法定盈餘公積，
但法定盈餘公積已達實收資本總額時，不在此限。另依法令或主管機關規定提撥或迴轉特別盈餘公積，
如尚有盈餘，同以前年度累積未分配盈餘及當年度未分配盈餘調整數額，由董事會擬具分派議案，
授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，依公司法第240 條第 5 項規定，
將應分派股息及紅利之全部或一部，及公司法第 241 條規定，將法定盈餘公積及資本公積之全部或一部，
以發放現金方式為之，並報告股東會。","無",
"1565 - 精華","董事會決議","113年 年度","113/01/01~113/12/31","1","114/03/12","不適用","      2,739,132,829","        747,302,087","      3,435,936,944","      2,956,980,042","9.50000000","0.0","0.0","        478,956,902","0.0","0.0","0.0","                  0","第廿四條之一：本公司年度總決算如有盈餘，除依法繳納稅捐外，應先彌補虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達實收資本額時，得免繼續提撥，並按法令規定或得視業務需要，提列或迴轉特別盈餘公積，如尚有餘額，併同累計未分配盈餘，由董事會擬具盈餘分派案，以發行新股為之時，應提請股東會決議後分派之。前項特別盈餘公積之提列，屬前期累積未提足之部分，應先自前期未分配盈餘提列相同數額之特別盈餘公積，如仍有不足時，再自當期稅後淨利加計當期稅後淨利以外項目計入當期未分配盈餘之數額提列。本公司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會。","無。",
"1569 - 濱川","股東會確認","113年 年度","113/01/01~113/12/31","1","114/03/14","114/06/19","        466,370,124","       -311,553,477","        277,569,911","        277,569,911","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司年度總決算如有盈餘，依下列順序分派
之：
1、提繳稅捐。
2、彌補以往年度虧損。
3、提列百分之十為法定盈餘公積(但法定盈餘
公積已達股本總額時不在此限)。
4、按法令規定提列或迴轉特別盈餘公積。
5、其餘加計期初未分配盈餘後由董事會擬訂
盈餘分派案分派之，惟股利分配數額不得低於
當年度利潤依1 至4 規定數額扣除後剩餘數額
之25%。惟若當年度利潤依1至4規定數額扣除
後剩餘數額低於實收資本額之百分之二時得不
予發放。
股利政策
本公司正處於企業成長階段，為考量公司財務
結構及因應未來預計資本支出之需要，本公司
股利政策係以部分分派股票股利及部分分派現
金股利，其中現金股利百分之二十至百分百，
股票股利零至百分之八十。惟為維持公司每股
獲利水準，考量股票股利對公司營業績效之影
響，如股利發放年度之每股盈餘較前一年度衰
退達百分之二十以上者，或得視資金情形，調
整現金股利發放比例為百分之五十至百分之
百，股票股利零至百分之五十，依前述原則決
定最適當之股利政策及發放方式，由董事會擬
具盈餘分派案，經股東會決議後辦理。","",
"1570 - 力肯","股東會確認","113年 年度","113/01/01~113/12/31","1","114/04/09","114/06/24","        259,102,664","        115,630,693","        378,205,099","        311,254,009","1.30000000","0.0","0.0","         66,951,090","0.0","0.0","0.0","                  0","第23-1條：
本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合業務規模拓展，考量公司資本支出及營運週轉所需，並同時兼顧股東利益。股東紅利之分派得以現金或股票方式發放，其中現金股利不得低於股東紅利之百分之十。","",
