出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","110","3","2880","華南金","20657739.00","18650571.00","39308310.00","1808577.00","658394.00","20988758.00","15852581.00","1668454.00","14184127.00","--","14184127.00","-2407866.00","11776261.00","14184016.00","--","111.00","11776120.00","--","141.00","1.08"
"114/10/28","110","3","2881","富邦金","105902741.00","273332979.00","379235720.00","3567623.00","175509608.00","51048102.00","149110387.00","16541182.00","132569205.00","--","132569205.00","-22551658.00","110017547.00","130210648.00","--","2358557.00","110589237.00","--","-571690.00","11.32"
"114/10/28","110","3","2882","國泰金","145173385.00","332415665.00","477589050.00","3214275.00","273724215.00","62572371.00","138078189.00","15708729.00","122369460.00","--","122369460.00","-119759451.00","2610009.00","121596084.00","--","773376.00","1895415.00","--","714594.00","8.98"
"114/10/28","110","3","2883","凱基金","49387988.00","98933496.00","148321484.00","148281.00","75023167.00","27182938.00","45967098.00","3982539.00","41984559.00","--","41984559.00","-40835888.00","1148671.00","30692575.00","--","11291984.00","8339404.00","--","-7190733.00","2.05"
"114/10/28","110","3","2884","玉山金","19006904.00","24221999.00","43228903.00","1079299.00","--","23571579.00","18578025.00","2678751.00","15899274.00","--","15899274.00","-680071.00","15219203.00","15885031.00","--","14243.00","15205054.00","--","14149.00","1.19"
"114/10/28","110","3","2885","元大金","22214892.00","74051249.00","96266141.00","118048.00","17741819.00","41034299.00","37371975.00","6421314.00","30950661.00","--","30950661.00","-6621797.00","24328864.00","28314607.00","--","2636054.00","23182882.00","--","1145982.00","2.33"
"114/10/28","110","3","2886","兆豐金","24196476.00","20968614.00","45165090.00","382981.00","-3752.00","22235867.00","22549994.00","2844376.00","19705618.00","--","19705618.00","-1351866.00","18353752.00","19705618.00","--","0.00","18353752.00","--","0.00","1.45"
"114/10/28","110","3","2887","台新新光金","17804715.00","29425206.00","47229921.00","462207.00","5869970.00","20682825.00","20214919.00","2456264.00","17758655.00","--","17758655.00","-1214452.00","16544203.00","17768685.00","--","-10030.00","16554233.00","--","-10030.00","1.44"
"114/10/28","110","3","2889","國票金","2016881.00","5691224.00","7708105.00","46925.00","--","3257189.00","4403991.00","855812.00","3548179.00","--","3548179.00","-776426.00","2771753.00","3067224.00","--","480955.00","2119710.00","--","652043.00","1.03"
"114/10/28","110","3","2890","永豐金","16384133.00","18763208.00","35147341.00","1572341.00","--","18812365.00","14762635.00","1968519.00","12794116.00","--","12794116.00","-1127852.00","11666264.00","12794116.00","--","0.00","11666264.00","--","0.00","1.14"
"114/10/28","110","3","2891","中信金","80607045.00","55783508.00","136390553.00","4285366.00","25608684.00","53116727.00","53379776.00","6904085.00","46475691.00","--","46475691.00","-15460174.00","31015517.00","46474798.00","--","893.00","31019666.00","--","-4149.00","2.33"
"114/10/28","110","3","2892","第一金","25241357.00","22155887.00","47397244.00","1860843.00","7219992.00","18852535.00","19463874.00","2942512.00","16521362.00","--","16521362.00","-3120350.00","13401012.00","16521362.00","--","--","13401012.00","--","--","1.27"
"114/10/28","110","3","5880","合庫金","26960180.00","14595985.00","41556165.00","2259635.00","61766.00","19725970.00","19508794.00","3044893.00","16463901.00","--","16463901.00","-1865481.00","14598420.00","15882952.00","--","580949.00","14303978.00","--","294442.00","1.17"
