出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業費用,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,所得稅費用（利益）,繼續營業單位本期純益（純損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益
114/10/28,113,4,2891,中信金,,,92692080.00,,,,,,--,,,,,81111486.00,72028449.00,--,1335611.00,77972273.00,--,3139213.00,3.64,133369772.00,56039801.00,189409573.00,12114994.00,-3487216.00,88089715.00,14725655.00,73364060.00,73364060.00,7747426.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2892,第一金,,,32504823.00,,,,,,--,,,,,31018604.00,25359450.00,--,--,31018604.00,--,--,1.81,31234313.00,40885162.00,72119475.00,5763335.00,2613608.00,31237709.00,5878259.00,25359450.00,25359450.00,5659154.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,5880,合庫金,,,31725419.00,,,,,,--,,,,,24474021.00,19219939.00,--,589322.00,24182865.00,--,291156.00,1.26,30173537.00,35650155.00,65823692.00,5750254.00,3368758.00,24979261.00,5170000.00,19809261.00,19809261.00,4664760.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2880,華南金,,,8048060.00,,,,,,--,,,,,9644384.00,5628913.00,--,35.00,9644332.00,--,52.00,0.41,6205338.00,10123410.00,16328748.00,739449.00,496398.00,7044841.00,1415893.00,5628948.00,5628948.00,4015436.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2881,富邦金,,,20968582.00,,,,,,--,,,,,93941705.00,30407666.00,--,28559.00,94018806.00,--,-77101.00,2.34,43887078.00,45318389.00,89205467.00,2992456.00,30245078.00,34999351.00,4563126.00,30436225.00,30436225.00,63505480.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2882,國泰金,,,24826997.00,,,,,,-224334.00,,,,,73801691.00,38108670.00,--,-546241.00,72875554.00,--,926137.00,2.60,62425086.00,54142658.00,116567744.00,2302172.00,46209644.00,43228931.00,5442168.00,37786763.00,37562429.00,36239262.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2883,凱基金,,,8611615.00,,,,,,--,,,,,27747219.00,8213902.00,--,1869.00,27743311.00,--,3908.00,0.49,18322767.00,-2630589.00,15692178.00,398442.00,-3213437.00,9895558.00,1679787.00,8215771.00,8215771.00,19531448.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2884,玉山金,,,9379757.00,,,,,,--,,,,,8730410.00,6250969.00,--,3298.00,8726934.00,--,3476.00,0.40,7821425.00,9665104.00,17486529.00,371442.00,--,7735330.00,1481063.00,6254267.00,6254267.00,2476143.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2885,元大金,,,14572883.00,,,,,,--,,,,,13051892.00,9235010.00,--,723474.00,12310035.00,--,741857.00,0.73,7609146.00,23406657.00,31015803.00,314737.00,4136147.00,11992036.00,2033552.00,9958484.00,9958484.00,3093408.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2886,兆豐金,,,8496356.00,,,,,,--,,,,,15590996.00,11490181.00,--,0.00,15590996.00,--,0.00,0.80,9314481.00,13111202.00,22425683.00,1131912.00,15791.00,12781624.00,1291443.00,11490181.00,11490181.00,4100815.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2887,台新新光金,,,8565207.00,,,,,,--,,,,,5017822.00,5011462.00,--,387.00,5017435.00,--,387.00,0.36,8266907.00,13052907.00,21319814.00,626944.00,6062448.00,6065215.00,1053366.00,5011849.00,5011849.00,5973.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2889,國票金,,,1070031.00,,,,,,--,,,,,663544.00,628428.00,--,143156.00,419471.00,--,244073.00,0.18,328448.00,1707967.00,2036415.00,44093.00,--,922291.00,150707.00,771584.00,771584.00,-108040.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2890,永豐金,,,7980219.00,,,,,,--,,,,,8832158.00,6911113.00,--,0.00,8832158.00,--,0.00,0.56,5730673.00,11020306.00,16750979.00,613968.00,--,8156792.00,1245679.00,6911113.00,6911113.00,1921045.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2891,中信金,,,22251239.00,,,,,,--,,,,,27942847.00,20920112.00,--,252566.00,27949493.00,--,-6646.00,1.07,31902964.00,16608586.00,48511550.00,2476132.00,-1758446.00,25542625.00,4369947.00,21172678.00,21172678.00,6770169.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,2892,第一金,,,7674887.00,,,,,,--,,,,,10911024.00,7014953.00,--,--,10911024.00,--,--,0.52,7797891.00,10928921.00,18726812.00,1166035.00,1459894.00,8425996.00,1411043.00,7014953.00,7014953.00,3896071.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,5880,合庫金,,,7532729.00,,,,,,--,,,,,7069803.00,5237347.00,--,145882.00,6949126.00,--,120677.00,0.36,7158860.00,8641433.00,15800293.00,1177011.00,544031.00,6546522.00,1163293.00,5383229.00,5383229.00,1686574.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2855,統一證,,,,,,,542734.00,,--,--,4386792.00,,--,5180810.00,,--,,5161110.00,--,19700.00,3.00,,,,,,,,4386792.00,,794018.00,13029981.00,9368543.00,3661438.00,1268088.00,4929526.00,4373054.00,13738.00,,,,,,,,,,,,,,,,,
114/10/28,113,4,6005,群益證,,,,,,,1170296.00,,--,--,5402075.00,,--,5473574.00,,--,,4911665.00,--,561909.00,2.25,,,,,,,,5402075.00,,71499.00,17149090.00,13349871.00,3799219.00,2773152.00,6572371.00,4883776.00,518299.00,,,,,,,,,,,,,,,,,
114/10/28,113,4,6024,群益期,,,,,,,271059.00,,--,--,1192126.00,,--,1292410.00,,--,,1291095.00,--,1315.00,5.66,,,,,,,,1192126.00,,100284.00,2639658.00,2640502.00,-844.00,1464029.00,1463185.00,1190927.00,1199.00,,,,,,,,,,,,,,,,,
114/10/28,113,2,1240,茂生農經,1432034.00,1267539.00,120900.00,73090.00,16422.00,,21428.00,,--,--,68084.00,,--,324847.00,79352.00,--,-11268.00,336115.00,--,-11268.00,2.02,,,,,,,,68084.00,,,,,,,89512.00,,,7520.00,21975.00,193990.00,--,--,193990.00,--,256763.00,,,,,,,,,
114/10/28,113,2,1259,安心,3009628.00,2317946.00,677163.00,14519.00,50863.00,,8950.00,,--,--,56432.00,,--,177555.00,67558.00,--,-11126.00,188390.00,--,-10835.00,2.08,,,,,,,,56432.00,,,,,,,65382.00,,,--,--,691682.00,--,--,691682.00,--,121123.00,,,,,,,,,
114/10/28,113,2,1264,德麥,3140695.00,2124849.00,482259.00,533587.00,17531.00,,126067.00,,--,--,425051.00,,--,482956.00,371310.00,--,53741.00,408499.00,--,74457.00,10.02,,,,,,,,425051.00,,,,,,,551118.00,,,--,--,1015846.00,--,--,1015846.00,--,57905.00,,,,,,,,,
114/10/28,113,2,1268,漢來美食,2995315.00,1601201.00,1064449.00,329665.00,52.00,,64793.00,,--,--,264924.00,,--,302339.00,264924.00,--,--,302339.00,--,--,6.27,,,,,,,,264924.00,,,,,,,329717.00,,,--,--,1394114.00,--,--,1394114.00,--,37415.00,,,,,,,,,
114/10/28,113,2,1294,漢田生技,396944.00,234559.00,56106.00,106279.00,-1826.00,,22733.00,,--,--,81720.00,,--,81720.00,81844.00,--,-124.00,81844.00,--,-124.00,3.24,,,,,,,,81720.00,,,,,,,104453.00,,,--,--,162385.00,--,--,162385.00,--,--,,,,,,,,,
114/10/28,113,2,1295,生合,469660.00,201837.00,143785.00,124038.00,17003.00,,49467.00,,--,--,91574.00,,--,101114.00,91574.00,--,--,101114.00,--,--,2.98,,,,,,,,91574.00,,,,,,,141041.00,,,--,--,267823.00,--,--,267823.00,--,9540.00,,,,,,,,,
114/10/28,113,2,1336,台翰,1185433.00,964918.00,127777.00,92738.00,29673.00,,47116.00,,--,--,75295.00,,--,144192.00,75295.00,--,--,144192.00,--,--,0.97,,,,,,,,75295.00,,,,,,,122411.00,,,--,--,220515.00,--,--,220515.00,--,68897.00,,,,,,,,,
114/10/28,113,2,1565,精華,2096089.00,1592790.00,198019.00,305280.00,108666.00,,89522.00,,--,--,324424.00,,--,324875.00,324424.00,--,--,324875.00,--,--,6.43,,,,,,,,324424.00,,,,,,,413946.00,,,--,--,503299.00,--,0.00,503299.00,--,451.00,,,,,,,,,
114/10/28,113,2,1569,濱川,1390807.00,1321733.00,259459.00,-190385.00,138377.00,,8070.00,,--,--,-60078.00,,--,79843.00,-74861.00,--,14783.00,63035.00,--,16808.00,-0.62,,,,,,,,-60078.00,,,,,,,-52008.00,,,--,--,69074.00,--,--,69074.00,--,139921.00,,,,,,,,,
114/10/28,113,2,1570,力肯,357452.00,264991.00,42845.00,49616.00,16084.00,,12579.00,,--,--,53121.00,,--,102313.00,53121.00,--,0.00,102313.00,--,0.00,1.03,,,,,,,,53121.00,,,,,,,65700.00,,,--,--,92461.00,--,--,92461.00,--,49192.00,,,,,,,,,
114/10/28,113,2,1580,新麥,2173933.00,1208724.00,517809.00,447400.00,48051.00,,140710.00,,--,--,354741.00,,--,409994.00,332383.00,--,22358.00,384446.00,--,25548.00,6.62,,,,,,,,354741.00,,,,,,,495451.00,,,--,--,965209.00,--,--,965209.00,--,55253.00,,,,,,,,,
114/10/28,113,2,1584,精剛,1417011.00,1167366.00,94550.00,155095.00,128206.00,,34453.00,,--,--,248848.00,,--,245775.00,250865.00,--,-2017.00,247792.00,--,-2017.00,1.30,,,,,,,,248848.00,,,,,,,283301.00,,,--,--,249645.00,--,--,249645.00,--,-3073.00,,,,,,,,,
114/10/28,113,2,1586,和勤,1251818.00,1040598.00,171565.00,39655.00,3704.00,,9944.00,,--,--,33415.00,,--,65914.00,33415.00,--,--,65914.00,--,--,0.41,,,,,,,,33415.00,,,,,,,43359.00,,,--,--,211220.00,--,--,211220.00,--,32499.00,,,,,,,,,
114/10/28,113,2,1591,駿吉-KY,107121.00,110318.00,30911.00,-34108.00,1683.00,,-3823.00,,--,--,-28602.00,,--,-15465.00,-28602.00,--,--,-15465.00,--,--,-0.82,,,,,,,,-28602.00,,,,,,,-32425.00,,,--,--,-3197.00,--,--,-3197.00,--,13137.00,,,,,,,,,
114/10/28,113,2,1593,祺驊,505513.00,349611.00,132493.00,23409.00,21441.00,,15887.00,,--,--,28963.00,,--,46869.00,17055.00,--,11908.00,34961.00,--,11908.00,0.43,,,,,,,,28963.00,,,,,,,44850.00,,,--,--,155902.00,--,--,155902.00,--,17906.00,,,,,,,,,
114/10/28,113,2,1595,川寶,415545.00,294818.00,149526.00,-28799.00,46483.00,,11521.00,,--,--,6163.00,,--,13284.00,8366.00,--,-2203.00,15487.00,--,-2203.00,0.17,,,,,,,,6163.00,,,,,,,17684.00,,,--,--,120727.00,--,--,120727.00,--,7121.00,,,,,,,,,
114/10/28,113,2,1599,宏佳騰,897437.00,694058.00,243091.00,-39712.00,19133.00,,7889.00,,--,--,-28468.00,,--,-4394.00,-28468.00,--,--,-4394.00,--,--,-0.39,,,,,,,,-28468.00,,,,,,,-20579.00,,,--,--,203379.00,--,--,203379.00,--,24074.00,,,,,,,,,
114/10/28,113,2,1742,台蠟,134899.00,97843.00,68376.00,-31320.00,174894.00,,1771.00,,--,--,141803.00,,--,144322.00,141803.00,--,--,144322.00,--,--,1.53,,,,,,,,141803.00,,,,,,,143574.00,,,--,--,37056.00,--,--,37056.00,--,2519.00,,,,,,,,,
114/10/28,113,2,1777,生泰,612810.00,364256.00,65792.00,182762.00,52684.00,,49459.00,,--,--,185987.00,,--,186067.00,--,--,--,--,--,--,4.17,,,,,,,,185987.00,,,,,,,235446.00,,,--,--,248554.00,--,--,248554.00,--,80.00,,,,,,,,,
114/10/28,113,2,1781,合世,318666.00,268117.00,67764.00,-17215.00,20852.00,,451.00,,--,--,3186.00,,--,737.00,3186.00,--,--,737.00,--,--,0.07,,,,,,,,3186.00,,,,,,,3637.00,,,--,--,50549.00,--,--,50549.00,--,-2449.00,,,,,,,,,
114/10/28,113,2,1784,訊聯,589254.00,265627.00,283346.00,40281.00,18256.00,,12858.00,,--,--,45679.00,,--,45944.00,38978.00,--,6701.00,39141.00,--,6803.00,0.82,,,,,,,,45679.00,,,,,,,58537.00,,,--,--,323627.00,--,--,323627.00,--,265.00,,,,,,,,,
114/10/28,113,2,1785,光洋科,13911766.00,12065186.00,719525.00,1127055.00,-125508.00,,203976.00,,--,--,797571.00,,--,883669.00,797531.00,--,40.00,883629.00,--,40.00,1.34,,,,,,,,797571.00,,,,,,,1001547.00,,,--,--,1846580.00,--,--,1846580.00,--,86098.00,,,,,,,,,
114/10/28,113,2,1788,杏昌,2061829.00,1508375.00,327689.00,225765.00,28085.00,,48708.00,,--,--,205142.00,,--,207361.00,205142.00,0.00,0.00,207361.00,0.00,0.00,4.61,,,,,,,,205142.00,,,,,,,253850.00,,,--,--,553454.00,--,--,553454.00,--,2219.00,,,,,,,,,
114/10/28,113,2,1796,金穎生技,234291.00,189379.00,62674.00,-17762.00,3580.00,,158.00,,--,--,-14340.00,,--,-13823.00,-14340.00,--,--,-13823.00,--,--,-0.35,,,,,,,,-14340.00,,,,,,,-14182.00,,,--,--,44912.00,--,--,44912.00,--,517.00,,,,,,,,,
114/10/28,113,2,1799,易威,196304.00,76641.00,190549.00,-70886.00,-5447.00,,156.00,,--,--,-76489.00,,--,-59045.00,-70057.00,--,-6432.00,-52972.00,--,-6073.00,-0.59,,,,,,,,-76489.00,,,,,,,-76333.00,,,--,--,119663.00,--,--,119663.00,--,17444.00,,,,,,,,,
114/10/28,113,2,1813,寶利徠,160288.00,176663.00,43511.00,-59886.00,64244.00,,3301.00,,--,--,1057.00,,--,-506.00,7701.00,--,-6644.00,6485.00,--,-6991.00,0.17,,,,,,,,1057.00,,,,,,,4358.00,,,--,--,-16375.00,--,--,-16375.00,--,-1563.00,,,,,,,,,
114/10/28,113,2,1815,富喬,1841900.00,1726455.00,248382.00,-132937.00,40929.00,,-28355.00,,--,--,-63653.00,,--,29614.00,-63653.00,--,--,29614.00,--,--,-0.14,,,,,,,,-63653.00,,,,,,,-92008.00,,,--,--,115445.00,--,--,115445.00,--,93267.00,,,,,,,,,
114/10/28,113,2,2035,唐榮公司,5695364.00,5751500.00,148578.00,-204714.00,8735.00,,--,,--,--,-195979.00,,--,-202554.00,--,--,--,--,--,--,-0.56,,,,,,,,-195979.00,,,,,,,-195979.00,,,--,--,-56136.00,--,--,-56136.00,--,-6575.00,,,,,,,,,
114/10/28,113,2,2061,風青,553990.00,526043.00,30103.00,-2156.00,34390.00,,2102.00,,--,--,30132.00,,--,34973.00,30132.00,--,--,34973.00,--,--,0.64,,,,,,,,30132.00,,,,,,,32234.00,,,--,--,27947.00,--,--,27947.00,--,4841.00,,,,,,,,,
114/10/28,113,2,2063,世鎧,587806.00,444589.00,68072.00,75145.00,12482.00,,20945.00,,--,--,66682.00,,--,84215.00,66682.00,--,--,84215.00,--,--,1.34,,,,,,,,66682.00,,,,,,,87627.00,,,--,--,143217.00,--,--,143217.00,--,17533.00,,,,,,,,,
114/10/28,113,2,2064,晉椿,792121.00,760291.00,56410.00,-24649.00,29215.00,,-2.00,,--,--,4568.00,,--,3681.00,4580.00,--,-12.00,3692.00,--,-11.00,0.07,,,,,,,,4568.00,,,,,,,4566.00,,,--,--,31830.00,69.00,--,31761.00,--,-887.00,,,,,,,,,
114/10/28,113,2,2065,世豐,1186507.00,952724.00,105315.00,128468.00,45003.00,,39457.00,,--,--,134014.00,,--,122340.00,134014.00,--,--,122340.00,--,--,2.38,,,,,,,,134014.00,,,,,,,173471.00,,,--,--,233783.00,--,--,233783.00,--,-11674.00,,,,,,,,,
114/10/28,113,2,2066,世德,1450594.00,950602.00,281802.00,218190.00,47554.00,,62438.00,,--,--,203306.00,,--,205169.00,203306.00,--,0.00,205169.00,--,0.00,4.86,,,,,,,,203306.00,,,,,,,265744.00,,,--,--,499992.00,--,--,499992.00,--,1863.00,,,,,,,,,
114/10/28,113,2,2067,嘉鋼,490186.00,473247.00,90471.00,-73532.00,-9783.00,,-1800.00,,--,--,-81515.00,,--,-71108.00,-66863.00,--,-14652.00,-57632.00,--,-13476.00,-1.48,,,,,,,,-81515.00,,,,,,,-83315.00,,,--,--,16939.00,--,--,16939.00,--,10407.00,,,,,,,,,
114/10/28,113,2,2070,精湛,329850.00,151101.00,112470.00,66279.00,11126.00,,18117.00,,--,--,59288.00,,--,45809.00,59288.00,--,--,45809.00,--,--,1.66,,,,,,,,59288.00,,,,,,,77405.00,,,--,--,178749.00,--,--,178749.00,--,-13479.00,,,,,,,,,
114/10/28,113,2,2073,雄順,293399.00,239743.00,34776.00,18880.00,-3998.00,,2876.00,,--,--,12006.00,,--,12358.00,--,--,--,--,--,--,0.44,,,,,,,,12006.00,,,,,,,14882.00,,,--,--,53656.00,--,--,53656.00,--,352.00,,,,,,,,,
114/10/28,113,2,2221,大甲,602214.00,507223.00,60240.00,34751.00,-873.00,,8131.00,,--,--,25747.00,,--,28854.00,22416.00,--,3331.00,25523.00,0.00,3331.00,0.53,,,,,,,,25747.00,,,,,,,33878.00,,,--,--,94991.00,--,--,94991.00,--,3107.00,,,,,,,,,
114/10/28,113,2,2230,泰茂,577167.00,326173.00,54120.00,196834.00,19924.00,,22919.00,,--,--,193839.00,,--,226403.00,194619.00,--,-780.00,226453.00,--,-50.00,3.76,,,,,,,,193839.00,,,,,,,216758.00,,,--,--,250994.00,--,--,250994.00,-40.00,32564.00,,,,,,,,,
114/10/28,113,2,2235,謚源,253257.00,193644.00,35566.00,24047.00,38632.00,,10932.00,,--,--,51747.00,,0.00,51747.00,--,--,--,--,--,--,1.44,,,,,,,,51747.00,,,,,,,62679.00,,,--,--,59613.00,0.00,0.00,59613.00,--,0.00,,,,,,,,,
114/10/28,113,2,2596,綠意,184273.00,175338.00,32196.00,-23261.00,913.00,,5621.00,,--,--,-27969.00,,--,-27969.00,-26918.00,--,-1051.00,-26918.00,--,-1051.00,-0.27,,,,,,,,-27969.00,,,,,,,-22348.00,,,--,--,8935.00,--,--,8935.00,--,--,,,,,,,,,
114/10/28,113,2,2640,大車隊,1473888.00,787475.00,399810.00,286603.00,6968.00,,63225.00,,--,--,230346.00,,--,230346.00,233341.00,--,-2995.00,233341.00,--,-2995.00,3.94,,,,,,,,230346.00,,,,,,,293571.00,,,--,--,686413.00,--,--,686413.00,--,--,,,,,,,,,
114/10/28,113,2,2641,正德,783801.00,417911.00,41878.00,324012.00,-43015.00,,10863.00,,--,--,270134.00,,--,636674.00,270200.00,--,-66.00,636740.00,--,-66.00,0.90,,,,,,,,270134.00,,,,,,,280997.00,,,--,--,365890.00,--,--,365890.00,--,366540.00,,,,,,,,,
114/10/28,113,2,2643,捷迅,2188095.00,1969364.00,113549.00,105182.00,22158.00,,27423.00,,--,--,99917.00,,--,158162.00,99917.00,--,--,158162.00,--,--,2.85,,,,,,,,99917.00,,,,,,,127340.00,,,--,--,218731.00,--,--,218731.00,--,58245.00,,,,,,,,,
114/10/28,113,2,2718,全心投控,378487.00,172258.00,64087.00,142142.00,5692.00,,39345.00,,--,--,108489.00,,--,186204.00,108489.00,--,--,186204.00,--,--,1.24,,,,,,,,108489.00,,,,,,,147834.00,,,--,--,206229.00,--,--,206229.00,--,77715.00,,,,,,,,,
114/10/28,113,2,2719,燦星旅,1069516.00,988954.00,107811.00,-27249.00,152153.00,,-2107.00,,--,--,127011.00,,--,127011.00,127011.00,--,--,127011.00,--,--,1.85,,,,,,,,127011.00,,,,,,,124904.00,,,--,--,80562.00,--,--,80562.00,--,--,,,,,,,,,
114/10/28,113,2,2724,藝舍-KY,74491.00,29218.00,54270.00,-8997.00,-13046.00,,9747.00,,--,--,-31790.00,,--,25436.00,-31790.00,0.00,--,25436.00,0.00,--,-0.53,,,,,,,,-31790.00,,,,,,,-22043.00,,,--,--,45273.00,--,--,45273.00,--,57226.00,,,,,,,,,
114/10/28,113,2,2726,雅茗-KY,262341.00,112270.00,136732.00,13339.00,96655.00,,7365.00,,--,--,102629.00,,--,118967.00,101471.00,--,1158.00,115253.00,--,3714.00,3.72,,,,,,,,102629.00,,,,,,,109994.00,,,--,--,150071.00,--,--,150071.00,--,16338.00,,,,,,,,,
