證券代號,證券簡稱,除息交易日,收益分配基準日,收益分配發放日,收益分配金額 (每1受益權益單位),收益分配標準 (102年度起啟用),公告年度
00710B,FH彭博高收益債,107年12月27日,108年01月02日,108年01月24日,0.224,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
00711B,FH彭博新興債,107年12月27日,108年01月02日,108年01月24日,0.079,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
00712,FH富時不動產,107年12月27日,108年01月02日,108年01月24日,0.357,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入、現金股利及子基金(含ETF)收益分配扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
00742,新光內需收益,107年12月27日,108年01月06日,108年02月14日,0.95,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師出具核閱報告後，始得分配：
(一)本基金每受益權單位可分配之收益，係指以本基金每受益權單位投資於中華民國境內所得之現金股利、利息收入等收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司得依該等收入之情況，決定分配之收益金額；
(二)前款可分配收益若另增配其他投資於中華民國境內所得之已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)與本基金應負擔之費用時，則本基金於收益分配評價日之每受益權單位之淨資產價值應高於本契約第五條第一項第二款所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位可分配收益之餘額，不得低於本契約第五條第一項第二款所列本基金每受益權單位之發行價格。",107
00731,FH富時高息低波,107年12月21日,107年12月27日,108年01月19日,2.492,"1.本基金投資中華民國境內所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入、現金股利、子基金(含ETF)收益分配及租賃所得扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按年依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次年之可分配收益。如欲分配本基金信託契約第18條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣伍拾元)。
3.本基金可分配收益之分配，每年分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次年四月底前指示基金保管機構分配之。",107
006208,富邦台50,107年11月29日,107年12月05日,107年12月28日,2.0,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",107
00692,富邦公司治理,107年11月29日,107年12月05日,107年12月28日,0.743,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具查核簽證報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前述可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。",107
00690,兆豐藍籌30ETF,107年11月28日,107年12月04日,107年12月26日,0.66,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核簽證後，始得分配：
(一)本基金每受益權單位可分配之收益，係指以本基金投資所得之現金股利扣除本基金應負擔之費用後之可分配收益，且不需扣除已實現及未實現之資本損失；
(二)若其他投資所得之利息收入加計已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)後餘額為正數時，經理公司得於扣除本基金應負擔之費用後，決定併入可分配之收益金額。",107
0051,元大中型100,107年11月22日,107年11月28日,107年12月25日,1.0,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣26.12元。",107
0053,元大電子,107年11月22日,107年11月28日,107年12月25日,1.1,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於信託契約第五條第二項所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣30元。",107
