出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","110","2","1240","茂生農經","1176721.00","907370.00","2084091.00","684714.00","40099.00","724813.00","350097.00","--","145207.00","555962.00","184844.00","--","1236110.00","--","--","123168.00","1359278.00","--","0.00","0.00","35.31"
"114/10/28","110","2","1259","安心","2008468.00","2965653.00","4974121.00","1432441.00","1299790.00","2732231.00","323895.00","--","809816.00","785363.00","301715.00","-10123.00","2210666.00","--","--","31224.00","2241890.00","0.00","0.00","117000.00","68.50"
"114/10/28","110","2","1264","德麥","2327810.00","1692506.00","4020316.00","890450.00","78020.00","968470.00","336960.00","--","707332.00","1410047.00","-72245.00","-2432.00","2379662.00","--","--","672184.00","3051846.00","0.00","0.00","12000.00","70.65"
"114/10/28","110","2","1268","漢來美食","2027874.00","2344150.00","4372024.00","1530245.00","1283118.00","2813363.00","377237.00","--","722815.00","448388.00","76031.00","-65810.00","1558661.00","--","--","--","1558661.00","--","0.00","500000.00","41.87"
"114/10/28","110","2","1294","漢田生技","144069.00","190877.00","334946.00","69549.00","93136.00","162685.00","80585.00","--","10276.00","77482.00","--","--","168343.00","--","--","3918.00","172261.00","--","0.00","0.00","20.89"
"114/10/28","110","2","1336","台翰","1287100.00","1155239.00","2442339.00","608390.00","212495.00","820885.00","770984.00","--","668899.00","299487.00","-117916.00","0.00","1621454.00","--","--","--","1621454.00","0.00","0.00","0.00","21.03"
"114/10/28","110","2","1565","精華","3994243.00","4171848.00","8166091.00","1422730.00","682381.00","2105111.00","504165.00","--","526000.00","5039378.00","-8563.00","--","6060980.00","--","--","--","6060980.00","0.00","0.00","0.00","120.22"
"114/10/28","110","2","1569","濱川","3537986.00","3160717.00","6698703.00","2889050.00","505709.00","3394759.00","1206784.00","--","1146218.00","1114826.00","-265564.00","--","3202264.00","--","--","101680.00","3303944.00","--","0.00","0.00","26.54"
"114/10/28","110","2","1570","力肯","868351.00","212404.00","1080755.00","216821.00","9405.00","226226.00","515008.00","--","0.00","342879.00","-3358.00","--","854529.00","--","--","0.00","854529.00","0.00","0.00","0.00","16.59"
"114/10/28","110","2","1580","新麥","1773827.00","1650852.00","3424679.00","931501.00","45984.00","977485.00","502302.00","--","77765.00","2044422.00","-196641.00","--","2427848.00","--","--","19346.00","2447194.00","--","0.00","0.00","48.33"
"114/10/28","110","2","1584","精剛","1554973.00","1204101.00","2759074.00","703671.00","725931.00","1429602.00","1224705.00","--","251222.00","-113503.00","-32952.00","--","1329472.00","--","--","0.00","1329472.00","--","0.00","0.00","10.86"
"114/10/28","110","2","1586","和勤","2043048.00","2169700.00","4212748.00","1292090.00","1388830.00","2680920.00","841806.00","--","542160.00","409039.00","-131105.00","-130072.00","1531828.00","--","--","--","1531828.00","0.00","0.00","3319000.00","18.94"
"114/10/28","110","2","1591","駿吉-KY","421826.00","338448.00","760274.00","329398.00","23941.00","353339.00","331648.00","--","22159.00","228420.00","-165531.00","-9761.00","406935.00","--","--","0.00","406935.00","0.00","0.00","500000.00","12.46"
"114/10/28","110","2","1593","祺驊","983502.00","444864.00","1428366.00","257316.00","24327.00","281643.00","352194.00","--","435739.00","417367.00","-65828.00","0.00","1139472.00","--","--","7251.00","1146723.00","0.00","0.00","0.00","32.35"
"114/10/28","110","2","1595","川寶","3103924.00","1177583.00","4281507.00","1704495.00","199236.00","1903731.00","471481.00","--","550534.00","1375423.00","-11182.00","-10480.00","2375776.00","--","--","2000.00","2377776.00","--","0.00","222000.00","50.63"
"114/10/28","110","2","1599","宏佳騰","1480142.00","1198254.00","2678396.00","718240.00","47888.00","766128.00","754997.00","--","422431.00","847981.00","-13091.00","-100050.00","1912268.00","--","--","--","1912268.00","0.00","0.00","2471000.00","26.19"
"114/10/28","110","2","1742","台蠟","1014458.00","782231.00","1796689.00","811152.00","121417.00","932569.00","715500.00","--","107236.00","65989.00","3503.00","-28108.00","864120.00","--","--","--","864120.00","0.00","0.00","1488000.00","12.33"
"114/10/28","110","2","1777","生泰","1286285.00","625396.00","1911681.00","521824.00","74921.00","596745.00","300595.00","--","314353.00","704512.00","-4524.00","--","--","--","--","--","1314936.00","0.00","0.00","0.00","43.74"
"114/10/28","110","2","1781","合世","756316.00","188347.00","944663.00","457558.00","55040.00","512598.00","474076.00","--","8.00","12176.00","-54195.00","--","432065.00","--","--","--","432065.00","0.00","0.00","0.00","9.11"
"114/10/28","110","2","1784","訊聯","693229.00","1069979.00","1763208.00","237447.00","215189.00","452636.00","496269.00","--","606382.00","59631.00","-6508.00","-62077.00","1093697.00","--","--","216875.00","1310572.00","0.00","0.00","2152000.00","23.04"
"114/10/28","110","2","1785","光洋科","16473372.00","8196399.00","24669771.00","2691010.00","9567822.00","12258832.00","5919312.00","--","3963821.00","2459976.00","-223878.00","--","12119231.00","--","--","291708.00","12410939.00","0.00","0.00","0.00","20.47"
"114/10/28","110","2","1788","杏昌","2384807.00","1975096.00","4359903.00","1526623.00","542024.00","2068647.00","387580.00","--","991210.00","919305.00","-6839.00","--","2291256.00","--","--","--","2291256.00","0.00","0.00","0.00","59.12"
"114/10/28","110","2","1796","金穎生技","803209.00","506604.00","1309813.00","440872.00","157417.00","598289.00","407894.00","--","270417.00","36593.00","-3380.00","--","711524.00","--","--","--","711524.00","0.00","0.00","0.00","17.44"
"114/10/28","110","2","1799","易威","590842.00","790812.00","1381654.00","43394.00","322693.00","366087.00","1633797.00","--","167580.00","-823914.00","-8672.00","--","968791.00","--","--","46776.00","1015567.00","0.00","0.00","0.00","5.93"
"114/10/28","110","2","1813","寶利徠","615964.00","663253.00","1279217.00","382633.00","26102.00","408735.00","466355.00","--","263318.00","132435.00","-25767.00","--","836341.00","--","--","34141.00","870482.00","0.00","0.00","0.00","17.93"
"114/10/28","110","2","1815","富喬","3699283.00","10806867.00","14506150.00","2115431.00","5550047.00","7665478.00","4184514.00","--","1807391.00","791955.00","56812.00","0.00","6840672.00","--","--","--","6840672.00","--","0.00","0.00","16.35"
"114/10/28","110","2","2035","唐榮公司","3363824.00","14290111.00","17653935.00","2473145.00","10580875.00","13054020.00","3500000.00","--","46.00","934596.00","165273.00","--","--","--","--","--","4599915.00","--","0.00","0.00","13.14"
"114/10/28","110","2","2061","風青","869051.00","219985.00","1089036.00","471479.00","57388.00","528867.00","469288.00","--","944.00","107296.00","-6030.00","-11329.00","560169.00","--","--","--","560169.00","0.00","0.00","1140000.00","12.23"
"114/10/28","110","2","2063","世鎧","1243799.00","601673.00","1845472.00","967575.00","136069.00","1103644.00","450000.00","--","38485.00","255581.00","-2238.00","--","741828.00","--","--","--","741828.00","0.00","0.00","0.00","16.49"
"114/10/28","110","2","2064","晉椿","1573826.00","1741258.00","3315084.00","2124412.00","87600.00","2212012.00","696300.00","--","101543.00","329592.00","-20937.00","-4104.00","1102394.00","--","--","678.00","1103072.00","0.00","0.00","300000.00","15.90"
"114/10/28","110","2","2065","世豐","1713380.00","1023467.00","2736847.00","1016118.00","345897.00","1362015.00","503375.00","--","348578.00","458963.00","63916.00","--","1374832.00","--","--","--","1374832.00","--","0.00","0.00","27.31"
"114/10/28","110","2","2066","世德","1775137.00","895825.00","2670962.00","1103296.00","376810.00","1480106.00","365029.00","--","38699.00","743099.00","-1334.00","-45530.00","1099963.00","--","--","90893.00","1190856.00","0.00","0.00","747000.00","30.76"
"114/10/28","110","2","2067","嘉鋼","619845.00","1077560.00","1697405.00","624998.00","547876.00","1172874.00","451382.00","--","29875.00","-38708.00","-17729.00","--","424820.00","--","--","99711.00","524531.00","--","0.00","0.00","9.41"
"114/10/28","110","2","2070","精湛","864715.00","679786.00","1544501.00","469082.00","252064.00","721146.00","357828.00","--","90398.00","395701.00","-20572.00","0.00","823355.00","--","--","--","823355.00","0.00","0.00","0.00","23.01"
